"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
1.59,5,208,442,884,0.6969,0.1716,0.1315,0.9134,0.98019801980198,0.878787878787879,0.604562737642586,0.9293,0.98019801980198,0.971445221445221,0.604562737642586,481.6339,442,672.966783216783,442
1.6,5,208,442,884,0.702,0.1682,0.1298,0.9175,0.982621082621083,0.876337693222354,0.61864406779661,0.9337,0.982621082621083,0.972651605231867,0.61864406779661,480.9324,442,673.464922711058,442
1.61,5,208,442,884,0.7098,0.1635,0.1267,0.922,0.982389405466329,0.875229357798165,0.644041041831097,0.9377,0.982389405466329,0.971253822629969,0.644041041831097,478.9579,442,668.042201834862,442
1.62,5,208,442,884,0.7106,0.1712,0.1182,0.9264,0.981564874753729,0.896028037383178,0.638747884940778,0.9406,0.981564874753729,0.978971962616822,0.638747884940778,480.3529,442,666.023948598131,442
1.63,5,208,442,884,0.7204,0.1616,0.118,0.9287,0.979317046085508,0.886757425742574,0.677118644067797,0.9429,0.979317046085508,0.974628712871287,0.677118644067797,479.0806,442,671.459158415842,442
1.64,5,208,442,884,0.7255,0.1572,0.1173,0.9302,0.981529979324604,0.88676844783715,0.670929241261722,0.9434,0.981529979324604,0.970737913486005,0.670929241261722,477.1434,442,665.558524173028,442
1.65,5,208,442,884,0.7336,0.1512,0.1152,0.9318,0.982824427480916,0.892195767195767,0.658854166666667,0.9449,0.982824427480916,0.978835978835979,0.658854166666667,476.5185,442,670.296957671958,442
1.66,5,208,442,884,0.7293,0.1585,0.1122,0.9329,0.986288221582339,0.878864353312303,0.662210338680927,0.9485,0.986288221582339,0.977287066246057,0.662210338680927,478.0072,442,669.17476340694,442
1.67,5,208,442,884,0.7349,0.1534,0.1117,0.94,0.983943393659001,0.906779661016949,0.696508504923903,0.9507,0.983943393659001,0.976531942633638,0.696508504923903,475.8009,442,662.344850065189,442
1.68,5,208,442,884,0.743,0.1524,0.1046,0.9408,0.985060565275908,0.891732283464567,0.697896749521989,0.9536,0.985060565275908,0.975721784776903,0.697896749521989,476.0594,442,665.48687664042,442
1.69,5,208,442,884,0.7446,0.152,0.1034,0.9412,0.985092667203868,0.896052631578947,0.691489361702128,0.954,0.985092667203868,0.980263157894737,0.691489361702128,475.8739,442,664.854605263158,442
