"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
0,8.5,208,442,884,0.0372,0.0799,0.8829,0.0486,0.263440860215054,0.0763454317897372,0.037037037037037,0.0492,0.263440860215054,0.0838548185231539,0.037037037037037,464.8336,442,727.777221526909,442
0,8.6,208,442,884,0.038,0.0816,0.8804,0.0518,0.302631578947368,0.113970588235294,0.0352112676056338,0.0496,0.302631578947368,0.0870098039215686,0.0352112676056338,464.5096,442,717.852941176471,442
0,8.7,208,442,884,0.0415,0.083,0.8755,0.0535,0.318072289156626,0.106024096385542,0.0359794403198173,0.0529,0.318072289156626,0.0987951807228916,0.0359794403198173,464.7951,442,716.639759036145,442
0,8.8,208,442,884,0.0374,0.0821,0.8805,0.0479,0.264705882352941,0.0889159561510353,0.0348665530948325,0.0477,0.264705882352941,0.0864799025578563,0.0348665530948325,465.385,442,726.83556638246,442
0,8.9,208,442,884,0.0424,0.0813,0.8763,0.0503,0.252358490566038,0.0996309963099631,0.0359465936323177,0.0493,0.252358490566038,0.0873308733087331,0.0359465936323177,465.0283,442,725.250922509225,442
0,9,208,442,884,0.0392,0.0818,0.879,0.0473,0.272959183673469,0.0696821515892421,0.0351535836177474,0.047,0.272959183673469,0.0660146699266504,0.0351535836177474,465.3679,442,727.671149144254,442
0,9.1,208,442,884,0.0397,0.0863,0.874,0.0502,0.261964735516373,0.101969872537659,0.0354691075514874,0.0503,0.261964735516373,0.103128621089224,0.0354691075514874,467.3268,442,735.47392815759,442
0,9.2,208,442,884,0.0396,0.0847,0.8757,0.0492,0.267676767676768,0.0838252656434475,0.0359712230215827,0.0478,0.267676767676768,0.0672963400236127,0.0359712230215827,466.427,442,730.394332939787,442
0,9.3,208,442,884,0.0377,0.084,0.8783,0.0481,0.286472148541114,0.0773809523809524,0.0350677445064329,0.0479,0.286472148541114,0.075,0.0350677445064329,466.9461,442,738.977380952381,442
0,9.4,208,442,884,0.0436,0.0864,0.87,0.0535,0.261467889908257,0.0763888888888889,0.0408045977011494,0.0542,0.261467889908257,0.0844907407407407,0.0408045977011494,465.4508,442,713.421296296296,442
0,9.5,208,442,884,0.0387,0.0867,0.8746,0.0481,0.214470284237726,0.0865051903114187,0.0369311685341871,0.047,0.214470284237726,0.0738177623990773,0.0369311685341871,466.7818,442,727.833910034602,442
0,9.6,208,442,884,0.0403,0.082,0.8777,0.0503,0.280397022332506,0.1,0.0350917169875812,0.0498,0.280397022332506,0.0939024390243902,0.0350917169875812,465.6166,442,730.007317073171,442
0,9.7,208,442,884,0.0445,0.0819,0.8736,0.0546,0.30561797752809,0.105006105006105,0.0370879120879121,0.0549,0.30561797752809,0.108669108669109,0.0370879120879121,465.2361,442,725.713064713065,442
0,9.8,208,442,884,0.0414,0.0836,0.875,0.0527,0.28743961352657,0.0873205741626794,0.0382857142857143,0.0525,0.28743961352657,0.0849282296650718,0.0382857142857143,465.4424,442,722.411483253588,442
0,9.9,208,442,884,0.038,0.0825,0.8795,0.0476,0.271052631578947,0.104242424242424,0.0326321773735077,0.0468,0.271052631578947,0.0945454545454545,0.0326321773735077,465.8408,442,730.979393939394,442
0,10,208,442,884,0.0399,0.0786,0.8815,0.0514,0.273182957393484,0.104325699745547,0.0366420873511061,0.0503,0.273182957393484,0.0903307888040712,0.0366420873511061,464.6494,442,730.160305343511,442
